mouse_symbol	class	n_human_targets	human_targets
Dhrs9	ortholog_one2one	1	DHRS9:ENSG00000073737
Dhx32	ortholog_one2one	1	DHX32:ENSG00000089876
Dhx57	ortholog_one2one	1	DHX57:ENSG00000163214
Dhx58	ortholog_one2one	1	DHX58:ENSG00000108771
Dio1	ortholog_one2one	1	DIO1:ENSG00000211452
Dio3	ortholog_one2one	1	DIO3:ENSG00000197406
Dip2C	NOT_FOUND_IN_BIOMART	0	
Diras2	ortholog_one2one	1	DIRAS2:ENSG00000165023
Disp1	ortholog_one2one	1	DISP1:ENSG00000154309
Dlg1	ortholog_one2one	1	DLG1:ENSG00000075711
Dlg5	ortholog_one2one	1	DLG5:ENSG00000151208
Dlgap1	ortholog_one2one	1	DLGAP1:ENSG00000170579
Dlk2	ortholog_one2one	1	DLK2:ENSG00000171462
Dmbt1	ortholog_one2one	1	DMBT1:ENSG00000187908
Dmkn	ortholog_one2one	1	DMKN:ENSG00000161249
Dmwd	ortholog_one2one	1	DMWD:ENSG00000185800
Dnaaf3	ortholog_one2one	1	DNAAF3:ENSG00000167646
Dnahc2	NOT_FOUND_IN_BIOMART	0	
Dnaja4	ortholog_one2one	1	DNAJA4:ENSG00000140403
Dnajc10	ortholog_one2one	1	DNAJC10:ENSG00000077232
Dnajc15	ortholog_one2one	1	DNAJC15:ENSG00000120675
Dok2	ortholog_one2one	1	DOK2:ENSG00000147443
Dpcd	ortholog_one2one	1	DPCD:ENSG00000166171
Dpcr1	NOT_FOUND_IN_BIOMART	0	
Dpt	ortholog_one2one	1	DPT:ENSG00000143196
Dram1	ortholog_one2one	1	DRAM1:ENSG00000136048
Dsg2	ortholog_one2one	1	DSG2:ENSG00000046604
Dsg3	ortholog_one2one	1	DSG3:ENSG00000134757
Dtnb	NO_ORTHOLOG	0	
Dtx3	ortholog_one2one	1	DTX3:ENSG00000178498
Duox2	ortholog_one2one	1	DUOX2:ENSG00000140279
Duoxa2	ortholog_one2one	1	DUOXA2:ENSG00000140274
Dusp1	ortholog_one2one	1	DUSP1:ENSG00000120129
Dusp10	ortholog_one2one	1	DUSP10:ENSG00000143507
Dusp14	ortholog_one2one	1	DUSP14:ENSG00000276023
Dusp18	ortholog_one2one	1	DUSP18:ENSG00000167065
Dusp22	ortholog_one2one	1	DUSP22:ENSG00000112679
Dusp3	NO_ORTHOLOG	0	
Dusp6	ortholog_one2one	1	DUSP6:ENSG00000139318
Dusp8	ortholog_one2one	1	DUSP8:ENSG00000184545
Dusp9	ortholog_one2one	1	DUSP9:ENSG00000130829
Dync2H1	NOT_FOUND_IN_BIOMART	0	
Dync2Li1	NOT_FOUND_IN_BIOMART	0	
Dynll1	ortholog_one2one	1	DYNLL1:ENSG00000088986
Dynlrb2	ortholog_one2one	1	DYNLRB2:ENSG00000168589
Dyrk3	ortholog_one2one	1	DYRK3:ENSG00000143479
Dzip1L	NOT_FOUND_IN_BIOMART	0	
E130012A19Rik	NOT_FOUND_IN_BIOMART	0	
Ebf1	ortholog_one2one	1	EBF1:ENSG00000164330
Ecel1	ortholog_one2one	1	ECEL1:ENSG00000171551
Ecm1	ortholog_one2one	1	ECM1:ENSG00000143369
Ecscr	ortholog_one2one	1	ECSCR:ENSG00000249751
Eda2R	NOT_FOUND_IN_BIOMART	0	
Edf1	ortholog_one2one	1	EDF1:ENSG00000107223
Edn1	ortholog_one2one	1	EDN1:ENSG00000078401
Edn2	ortholog_one2one	1	EDN2:ENSG00000127129
Edn3	ortholog_one2one	1	EDN3:ENSG00000124205
Eef1B2	NOT_FOUND_IN_BIOMART	0	
Eef1D	NOT_FOUND_IN_BIOMART	0	
Eef1G	NOT_FOUND_IN_BIOMART	0	
Eepd1	ortholog_one2one	1	EEPD1:ENSG00000122547
Efemp1	ortholog_one2one	1	EFEMP1:ENSG00000115380
Efemp2	ortholog_one2one	1	EFEMP2:ENSG00000172638
Efna5	ortholog_one2one	1	EFNA5:ENSG00000184349
Egfr	ortholog_one2one	1	EGFR:ENSG00000146648
Ehd2	ortholog_one2one	1	EHD2:ENSG00000024422
Ehd4	ortholog_one2one	1	EHD4:ENSG00000103966
Eid2	ortholog_one2one	1	EID2:ENSG00000176396
Eif1	ortholog_one2one	1	EIF1:ENSG00000173812
Eif2S2	NOT_FOUND_IN_BIOMART	0	
Eif4E3	NOT_FOUND_IN_BIOMART	0	
Elk3	ortholog_one2one	1	ELK3:ENSG00000111145
Emc1	ortholog_one2one	1	EMC1:ENSG00000127463
Emc3	ortholog_one2one	1	EMC3:ENSG00000125037
Eml1	ortholog_one2one	1	EML1:ENSG00000066629
Eml3	ortholog_one2one	1	EML3:ENSG00000149499
Emp1	ortholog_one2one	1	EMP1:ENSG00000134531
Emp2	ortholog_one2one	1	EMP2:ENSG00000213853
Emp3	ortholog_one2one	1	EMP3:ENSG00000142227
En1	ortholog_one2one	1	EN1:ENSG00000163064
Enah	ortholog_one2one	1	ENAH:ENSG00000154380
Endod1	ortholog_one2one	1	ENDOD1:ENSG00000149218
Enkur	ortholog_one2one	1	ENKUR:ENSG00000151023
Enpp4	ortholog_one2one	1	ENPP4:ENSG00000001561
Enpp5	ortholog_one2one	1	ENPP5:ENSG00000112796
Epdr1	ortholog_one2one	1	EPDR1:ENSG00000086289
Epha2	ortholog_one2one	1	EPHA2:ENSG00000142627
Epha4	ortholog_one2one	1	EPHA4:ENSG00000116106
Ephx4	ortholog_one2one	1	EPHX4:ENSG00000172031
Epn3	ortholog_one2one	1	EPN3:ENSG00000049283
Eps8L1	NOT_FOUND_IN_BIOMART	0	
Ercc3	ortholog_one2one	1	ERCC3:ENSG00000163161
Ercc5	ambiguous_ortholog_many2many	2	ERCC5:ENSG00000134899;BIVM:ENSG00000134897
Erdr1	NOT_FOUND_IN_BIOMART	0	
Ereg	ortholog_one2one	1	EREG:ENSG00000124882
Ergic1	ortholog_one2one	1	ERGIC1:ENSG00000113719
Erich1	ortholog_one2one	1	ERICH1:ENSG00000104714
Ermp1	ortholog_one2one	1	ERMP1:ENSG00000099219
Errfi1	ortholog_one2one	1	ERRFI1:ENSG00000116285
Esd	ortholog_one2one	1	ESD:ENSG00000139684
Eva1B	NOT_FOUND_IN_BIOMART	0	
Eva1C	NOT_FOUND_IN_BIOMART	0	
Evc	ortholog_one2one	1	EVC:ENSG00000072840
Evc2	ortholog_one2one	1	EVC2:ENSG00000173040
Exoc4	ortholog_one2one	1	EXOC4:ENSG00000131558
Exosc9	ortholog_one2one	1	EXOSC9:ENSG00000123737
Extl2	ortholog_one2one	1	EXTL2:ENSG00000162694
Eya2	ortholog_one2one	1	EYA2:ENSG00000064655
F11R	NOT_FOUND_IN_BIOMART	0	
F2R	NOT_FOUND_IN_BIOMART	0	
F2Rl1	NOT_FOUND_IN_BIOMART	0	
F3	ortholog_one2one	1	F3:ENSG00000117525
Fa2H	NOT_FOUND_IN_BIOMART	0	
Fabp3	ortholog_one2one	1	FABP3:ENSG00000121769
Fabp4	ortholog_one2one	1	FABP4:ENSG00000170323
Fabp5	ortholog_one2one	1	FABP5:ENSG00000164687
Fah	ortholog_one2one	1	FAH:ENSG00000103876
Faim3	NOT_FOUND_IN_BIOMART	0	
Fam102B	NOT_FOUND_IN_BIOMART	0	
Fam107B	NOT_FOUND_IN_BIOMART	0	
Fam129A	NOT_FOUND_IN_BIOMART	0	
Fam129B	NOT_FOUND_IN_BIOMART	0	
Fam135A	NOT_FOUND_IN_BIOMART	0	
Fam160A1	NOT_FOUND_IN_BIOMART	0	
Fam167A	NOT_FOUND_IN_BIOMART	0	
Fam171A2	NOT_FOUND_IN_BIOMART	0	
Fam189A2	NOT_FOUND_IN_BIOMART	0	
Fam195B	NOT_FOUND_IN_BIOMART	0	
Fam198B	NOT_FOUND_IN_BIOMART	0	
Fam20C	NOT_FOUND_IN_BIOMART	0	
Fam212B	NOT_FOUND_IN_BIOMART	0	
Fam214A	NOT_FOUND_IN_BIOMART	0	
Fam216A	NOT_FOUND_IN_BIOMART	0	
Fam229B	NOT_FOUND_IN_BIOMART	0	
Fam3A	NOT_FOUND_IN_BIOMART	0	
Fam43A	NOT_FOUND_IN_BIOMART	0	
Fam46B	NOT_FOUND_IN_BIOMART	0	
Fam55C	NOT_FOUND_IN_BIOMART	0	
Fam59A	NOT_FOUND_IN_BIOMART	0	
Fam63A	NOT_FOUND_IN_BIOMART	0	
Fam64A	NOT_FOUND_IN_BIOMART	0	
Fam69B	NOT_FOUND_IN_BIOMART	0	
Fam83H	NOT_FOUND_IN_BIOMART	0	
Fam89B	NOT_FOUND_IN_BIOMART	0	
Far1	ortholog_one2one	1	FAR1:ENSG00000197601
Farp1	ortholog_one2one	1	FARP1:ENSG00000152767
Fbf1	ortholog_one2one	1	FBF1:ENSG00000188878
Fbln1	ortholog_one2one	1	FBLN1:ENSG00000077942
Fbln2	ortholog_one2one	1	FBLN2:ENSG00000163520
Fbn1	ortholog_one2one	1	FBN1:ENSG00000166147
Fbxl17	ortholog_one2one	1	FBXL17:ENSG00000145743
Fbxo2	ortholog_one2one	1	FBXO2:ENSG00000116661
Fbxo21	ortholog_one2one	1	FBXO21:ENSG00000135108
Fbxo24	ortholog_one2one	1	FBXO24:ENSG00000106336
Fbxo32	ortholog_one2one	1	FBXO32:ENSG00000156804
Fbxo4	ortholog_one2one	1	FBXO4:ENSG00000151876
Fbxw9	ortholog_one2one	1	FBXW9:ENSG00000132004
Fcho1	ortholog_one2one	1	FCHO1:ENSG00000130475
Fer1L4	NOT_FOUND_IN_BIOMART	0	
Fermt1	ortholog_one2one	1	FERMT1:ENSG00000101311
Fermt2	ortholog_one2one	1	FERMT2:ENSG00000073712
Ffar4	ortholog_one2one	1	FFAR4:ENSG00000186188
Fgd2	ortholog_one2one	1	FGD2:ENSG00000146192
Fgd3	ortholog_one2one	1	FGD3:ENSG00000127084
Fgf1	ortholog_one2one	1	FGF1:ENSG00000113578
Fgf15	ortholog_one2one	1	FGF19:ENSG00000162344
Fgfr2	ortholog_one2one	1	FGFR2:ENSG00000066468
Fggy	ortholog_one2one	1	FGGY:ENSG00000172456
Fhl1	ambiguous_ortholog_one2many	1	FHL1:ENSG00000022267
Filip1L	NOT_FOUND_IN_BIOMART	0	
Fjx1	ortholog_one2one	1	FJX1:ENSG00000179431
Fkbp9	ortholog_one2one	1	FKBP9:ENSG00000122642
Flna	ortholog_one2one	1	FLNA:ENSG00000196924
Flnb	ortholog_one2one	1	FLNB:ENSG00000136068
Flnc	ortholog_one2one	1	FLNC:ENSG00000128591
Flot2	ortholog_one2one	1	FLOT2:ENSG00000132589
Flrt1	ortholog_one2one	1	FLRT1:ENSG00000126500
Flrt2	ortholog_one2one	1	FLRT2:ENSG00000185070
Flrt3	ortholog_one2one	1	FLRT3:ENSG00000125848
Fmnl2	ortholog_one2one	1	FMNL2:ENSG00000157827
Fmnl3	ortholog_one2one	1	FMNL3:ENSG00000161791
Fn1	ortholog_one2one	1	FN1:ENSG00000115414
Fnbp1	ortholog_one2one	1	FNBP1:ENSG00000187239
Fnbp1L	NOT_FOUND_IN_BIOMART	0	
Fndc3B	NOT_FOUND_IN_BIOMART	0	
Fos	ortholog_one2one	1	FOS:ENSG00000170345
Fosb	ortholog_one2one	1	FOSB:ENSG00000125740
Fosl1	ortholog_one2one	1	FOSL1:ENSG00000175592
Foxa2	ortholog_one2one	1	FOXA2:ENSG00000125798
Foxg1	ortholog_one2one	1	FOXG1:ENSG00000176165
Foxp1	ortholog_one2one	1	FOXP1:ENSG00000114861
Foxq1	ortholog_one2one	1	FOXQ1:ENSG00000164379
Frmd6	ortholog_one2one	1	FRMD6:ENSG00000139926
Fry	ortholog_one2one	1	FRY:ENSG00000073910
Fsd1	ortholog_one2one	1	FSD1:ENSG00000105255
Furin	ortholog_one2one	1	FURIN:ENSG00000140564
Fut2	NO_ORTHOLOG	0	
Fxyd3	ortholog_one2one	1	FXYD3:ENSG00000089356
Fzd6	ortholog_one2one	1	FZD6:ENSG00000164930
G3Bp2	NOT_FOUND_IN_BIOMART	0	
G6Pdx	NOT_FOUND_IN_BIOMART	0	
Gabarapl1	ortholog_one2one	1	GABARAPL1:ENSG00000139112
Gabrp	ortholog_one2one	1	GABRP:ENSG00000094755
Gadd45B	NOT_FOUND_IN_BIOMART	0	
Gadd45G	NOT_FOUND_IN_BIOMART	0	
Galnt10	ortholog_one2one	1	GALNT10:ENSG00000164574
Galnt11	ortholog_one2one	1	GALNT11:ENSG00000178234
Garnl3	ortholog_one2one	1	GARNL3:ENSG00000136895
Gas2L1	NOT_FOUND_IN_BIOMART	0	
Gas6	ortholog_one2one	1	GAS6:ENSG00000183087
Gas8	ortholog_one2one	1	DRC4:ENSG00000141013
Gata3	ortholog_one2one	1	GATA3:ENSG00000107485
Gatm	ortholog_one2one	1	GATM:ENSG00000171766
Gbp2	ambiguous_ortholog_one2many	1	GBP2:ENSG00000162645
Gch1	ortholog_one2one	1	GCH1:ENSG00000131979
Gcnt1	ortholog_one2one	1	GCNT1:ENSG00000187210
Gcnt3	ortholog_one2one	1	GCNT3:ENSG00000140297
Gde1	ortholog_one2one	1	GDE1:ENSG00000006007
Gdf10	ortholog_one2one	1	GDF10:ENSG00000266524
Gdf15	ortholog_one2one	1	GDF15:ENSG00000130513
Gem	ortholog_one2one	1	GEM:ENSG00000164949
Gemin7	ortholog_one2one	1	GEMIN7:ENSG00000142252
Get4	ortholog_one2one	1	GET4:ENSG00000239857
Ggta1	NO_ORTHOLOG	0	
Gigyf2	ortholog_one2one	1	GIGYF2:ENSG00000204120
Gipc1	ortholog_one2one	1	GIPC1:ENSG00000123159
Gja1	ortholog_one2one	1	GJA1:ENSG00000152661
Gjb3	ortholog_one2one	1	GJB3:ENSG00000188910
Gjb4	ortholog_one2one	1	GJB4:ENSG00000189433
Glipr1	ortholog_one2one	1	GLIPR1:ENSG00000139278
Glis2	ortholog_one2one	1	GLIS2:ENSG00000126603
Glis3	ortholog_one2one	1	GLIS3:ENSG00000107249
Glt28D2	NOT_FOUND_IN_BIOMART	0	
Glt8D1	NOT_FOUND_IN_BIOMART	0	
Gm10393	NOT_FOUND_IN_BIOMART	0	
Gm10691	NOT_FOUND_IN_BIOMART	0	
Gm10800	NOT_FOUND_IN_BIOMART	0	
Gm10972	NO_ORTHOLOG	0	
Gm14446	NOT_FOUND_IN_BIOMART	0	
Gm16721	NOT_FOUND_IN_BIOMART	0	
Gm17237	NOT_FOUND_IN_BIOMART	0	
Gm17244	NO_ORTHOLOG	0	
Gm17622	NOT_FOUND_IN_BIOMART	0	
Gm21887	NOT_FOUND_IN_BIOMART	0	
Gm22362	ambiguous_ortholog_one2many	4	SNORA70:ENSG00000251796;SNORA70:ENSG00000253042;SNORA70:ENSG00000251925;SNORA70:ENSG00000201376
Gm23119	NO_ORTHOLOG	0	
Gm23130	ortholog_one2one	1	SNORD101:ENSG00000206754
Gm24339	NO_ORTHOLOG	0	
Gm24494	ortholog_one2one	1	SNORD45A:ENSG00000207241
Gm24616	ortholog_one2one	1	SNORA4:ENSG00000263776
Gm2A	NOT_FOUND_IN_BIOMART	0	
Gm6096	NO_ORTHOLOG	0	
Gm7008	NO_ORTHOLOG	0	
Gm7665	NO_ORTHOLOG	0	
Gmds	ortholog_one2one	1	GMDS:ENSG00000112699
Gml	NO_ORTHOLOG	0	
Gna14	ortholog_one2one	1	GNA14:ENSG00000156049
Gnai1	ortholog_one2one	1	GNAI1:ENSG00000127955
Gnai2	ortholog_one2one	1	GNAI2:ENSG00000114353
Gnaz	ortholog_one2one	1	GNAZ:ENSG00000128266
Gnb5	ortholog_one2one	1	GNB5:ENSG00000069966
Gng7	NO_ORTHOLOG	0	
Gngt2	ortholog_one2one	1	GNGT2:ENSG00000167083
Gnl1	ortholog_one2one	1	GNL1:ENSG00000204590
Gnpat	ortholog_one2one	1	GNPAT:ENSG00000116906
Gnptg	ortholog_one2one	1	GNPTG:ENSG00000090581
Golga2	ambiguous_ortholog_one2many	19	GOLGA6C:ENSG00000167195;GOLGA8T:ENSG00000261247;GOLGA8H:ENSG00000261794;GOLGA8N:ENSG00000232653;GOLGA8M:ENSG00000188626;GOLGA2:ENSG00000167110;GOLGA8B:ENSG00000215252;GOLGA6D:ENSG00000140478;GOLGA6A:ENSG00000159289;GOLGA8R:ENSG00000186399;GOLGA6B:ENSG00000215186;GOLGA8J:ENSG00000179938;GOLGA8K:ENSG00000249931;GOLGA8A:ENSG00000175265;GOLGA8Q:ENSG00000178115;GOLGA8G:ENSG00000183629;GOLGA8O:ENSG00000206127;GOLGA8F:ENSG00000153684;GOLGA8S:ENSG00000261739
Golm1	ortholog_one2one	1	GOLM1:ENSG00000135052
Gpc1	ortholog_one2one	1	GPC1:ENSG00000063660
Gpr126	NOT_FOUND_IN_BIOMART	0	
Gpr137B	NOT_FOUND_IN_BIOMART	0	
Gprc5A	NOT_FOUND_IN_BIOMART	0	
Gpsm1	ortholog_one2one	1	GPSM1:ENSG00000160360
Gpx2	ortholog_one2one	1	GPX2:ENSG00000176153
Gramd1B	NOT_FOUND_IN_BIOMART	0	
Grasp	NOT_FOUND_IN_BIOMART	0	
Grb10	ortholog_one2one	1	GRB10:ENSG00000106070
Grem1	ortholog_one2one	1	GREM1:ENSG00000166923
Grhl1	ortholog_one2one	1	GRHL1:ENSG00000134317
Gsdmd	ortholog_one2one	1	GSDMD:ENSG00000104518
Gsn	ortholog_one2one	1	GSN:ENSG00000148180
Gspt2	ortholog_one2one	1	GSPT2:ENSG00000189369
Gsta4	NO_ORTHOLOG	0	
Gsto1	ortholog_one2one	1	GSTO1:ENSG00000148834
Gtf3C5	NOT_FOUND_IN_BIOMART	0	
Gtse1	ortholog_one2one	1	GTSE1:ENSG00000075218
Gucy1A3	NOT_FOUND_IN_BIOMART	0	
Gzmm	ortholog_one2one	1	GZMM:ENSG00000197540
H2-Ab1	ambiguous_ortholog_one2many	2	HLA-DQB2:ENSG00000232629;HLA-DQB1:ENSG00000179344
H2-T24	NO_ORTHOLOG	0	
H6Pd	NOT_FOUND_IN_BIOMART	0	
Haghl	ortholog_one2one	1	HAGHL:ENSG00000103253
Hap1	ortholog_one2one	1	HAP1:ENSG00000173805
Hbegf	ortholog_one2one	1	HBEGF:ENSG00000113070
Hdac2	ortholog_one2one	1	HDAC2:ENSG00000196591
Hdac7	ortholog_one2one	1	HDAC7:ENSG00000061273
Hebp2	ortholog_one2one	1	HEBP2:ENSG00000051620
Heg1	ortholog_one2one	1	HEG1:ENSG00000173706
Herc6	ortholog_one2one	1	HERC6:ENSG00000138642
Hgfac	ortholog_one2one	1	HGFAC:ENSG00000109758
Hhex	NO_ORTHOLOG	0	
Hid1	ortholog_one2one	1	HID1:ENSG00000167861
Hif3A	NOT_FOUND_IN_BIOMART	0	
Hilpda	ortholog_one2one	1	HILPDA:ENSG00000135245
Hist1H1C	NOT_FOUND_IN_BIOMART	0	
Hist1H1E	NOT_FOUND_IN_BIOMART	0	
Hist1H2Ai	NOT_FOUND_IN_BIOMART	0	
Hist1H2Bh	NOT_FOUND_IN_BIOMART	0	
Hist1H2Bj	NOT_FOUND_IN_BIOMART	0	
Hist1H2Bk	NOT_FOUND_IN_BIOMART	0	
Hist1H2Bm	NOT_FOUND_IN_BIOMART	0	
Hist1H3C	NOT_FOUND_IN_BIOMART	0	
Hist1H3E	NOT_FOUND_IN_BIOMART	0	
Hist2H2Ac	NOT_FOUND_IN_BIOMART	0	
Hist4H4	NOT_FOUND_IN_BIOMART	0	
Hk1	ortholog_one2one	1	HK1:ENSG00000156515
Hk2	ortholog_one2one	1	HK2:ENSG00000159399
Hlcs	ortholog_one2one	1	HLCS:ENSG00000159267
Hmgb3	NO_ORTHOLOG	0	
Hmgcll1	ortholog_one2one	1	HMGCLL1:ENSG00000146151
Hmgcr	ortholog_one2one	1	HMGCR:ENSG00000113161
Hmox1	ortholog_one2one	1	HMOX1:ENSG00000100292
Hnf1B	NOT_FOUND_IN_BIOMART	0	
Hnrnpk	ortholog_one2one	1	HNRNPK:ENSG00000165119
Homer3	ortholog_one2one	1	HOMER3:ENSG00000051128
Hoxb6	ortholog_one2one	1	HOXB6:ENSG00000108511
Hpcal1	ortholog_one2one	1	HPCAL1:ENSG00000115756
Hpcal4	ortholog_one2one	1	HPCAL4:ENSG00000116983
Hpn	ortholog_one2one	1	HPN:ENSG00000105707
Hpse	ortholog_one2one	1	HPSE:ENSG00000173083
Hpx	ortholog_one2one	1	HPX:ENSG00000110169
Hr	ortholog_one2one	1	HR:ENSG00000168453
Hs3St1	NOT_FOUND_IN_BIOMART	0	
Hs6St2	NOT_FOUND_IN_BIOMART	0	
Hsbp1	ortholog_one2one	1	HSBP1:ENSG00000230989
Hsd17B2	NOT_FOUND_IN_BIOMART	0	
Hsp90Aa1	NOT_FOUND_IN_BIOMART	0	
Hsp90Ab1	NOT_FOUND_IN_BIOMART	0	
Hspa1A	NOT_FOUND_IN_BIOMART	0	
Hspa1B	NOT_FOUND_IN_BIOMART	0	
Hspa2	ortholog_one2one	1	HSPA2:ENSG00000126803
Hspb1	ortholog_one2one	1	HSPB1:ENSG00000106211
Hspg2	ortholog_one2one	1	HSPG2:ENSG00000142798
Hsph1	ortholog_one2one	1	HSPH1:ENSG00000120694
Htr1D	NOT_FOUND_IN_BIOMART	0	
Htra3	ortholog_one2one	1	HTRA3:ENSG00000170801
Hyal1	ortholog_one2one	1	HYAL1:ENSG00000114378
I830012O16Rik	NOT_FOUND_IN_BIOMART	0	
Icam1	ortholog_one2one	1	ICAM1:ENSG00000090339
Id1	ortholog_one2one	1	ID1:ENSG00000125968
Id2	ortholog_one2one	1	ID2:ENSG00000115738
Id3	ortholog_one2one	1	ID3:ENSG00000117318
Ier3	ortholog_one2one	1	IER3:ENSG00000137331
Ier5L	NOT_FOUND_IN_BIOMART	0	
Iffo2	ortholog_one2one	1	IFFO2:ENSG00000169991
Ifi202B	NOT_FOUND_IN_BIOMART	0	
Ifi27L1	NOT_FOUND_IN_BIOMART	0	
Ifi27L2A	NOT_FOUND_IN_BIOMART	0	
Ifit1	ambiguous_ortholog_one2many	1	IFIT1B:ENSG00000204010
Ifit3	ambiguous_ortholog_one2many	1	IFIT3:ENSG00000119917
Ifitm3	ambiguous_ortholog_many2many	3	IFITM1:ENSG00000185885;IFITM2:ENSG00000185201;IFITM3:ENSG00000142089
Ifrd1	ortholog_one2one	1	IFRD1:ENSG00000006652
Ift122	ortholog_one2one	1	IFT122:ENSG00000163913
Ift27	ortholog_one2one	1	IFT27:ENSG00000100360
Ift43	ortholog_one2one	1	IFT43:ENSG00000119650
Ift57	ortholog_one2one	1	IFT57:ENSG00000114446
Ift74	ortholog_one2one	1	IFT74:ENSG00000096872
Ift81	ortholog_one2one	1	IFT81:ENSG00000122970
Igf1R	NOT_FOUND_IN_BIOMART	0	
Igfbp3	ortholog_one2one	1	IGFBP3:ENSG00000146674
Igfbp5	ortholog_one2one	1	IGFBP5:ENSG00000115461
Igfbp7	ortholog_one2one	1	IGFBP7:ENSG00000163453
Ighm	ortholog_one2one	1	IGHM:ENSG00000211899
Igsf1	ortholog_one2one	1	IGSF1:ENSG00000147255
Igtp	ambiguous_ortholog_one2many	1	IRGM:ENSG00000237693
Iigp1	NO_ORTHOLOG	0	
Ikbkg	ortholog_one2one	1	IKBKG:ENSG00000269335
Il17Re	NOT_FOUND_IN_BIOMART	0	
Il1A	NOT_FOUND_IN_BIOMART	0	
Il1Rn	NOT_FOUND_IN_BIOMART	0	
Il24	ortholog_one2one	1	IL24:ENSG00000162892
Il28Ra	NOT_FOUND_IN_BIOMART	0	
Il33	ortholog_one2one	1	IL33:ENSG00000137033
Il34	ortholog_one2one	1	IL34:ENSG00000157368
Il3Ra	NOT_FOUND_IN_BIOMART	0	
Il4Ra	NOT_FOUND_IN_BIOMART	0	
Il7	ortholog_one2one	1	IL7:ENSG00000104432
Ildr1	ortholog_one2one	1	ILDR1:ENSG00000145103
Ildr2	ortholog_one2one	1	ILDR2:ENSG00000143195
Inf2	ortholog_one2one	1	INF2:ENSG00000203485
Inhba	ortholog_one2one	1	INHBA:ENSG00000122641
Inpp5K	NOT_FOUND_IN_BIOMART	0	
Insig2	ortholog_one2one	1	INSIG2:ENSG00000125629
Ip6K2	NOT_FOUND_IN_BIOMART	0	
Ipo4	ortholog_one2one	1	IPO4:ENSG00000196497
Iqcb1	ortholog_one2one	1	IQCB1:ENSG00000173226
Iqce	NO_ORTHOLOG	0	
Iqgap2	ortholog_one2one	1	IQGAP2:ENSG00000145703
Irak1Bp1	NOT_FOUND_IN_BIOMART	0	
Irak2	ortholog_one2one	1	IRAK2:ENSG00000134070
Irf1	ortholog_one2one	1	IRF1:ENSG00000125347
Irf2Bpl	NOT_FOUND_IN_BIOMART	0	
Irf6	ortholog_one2one	1	IRF6:ENSG00000117595
Irf7	ortholog_one2one	1	IRF7:ENSG00000185507
Irf9	ortholog_one2one	1	IRF9:ENSG00000213928
Irgm1	ambiguous_ortholog_one2many	1	IRGM:ENSG00000237693
Irgm2	ambiguous_ortholog_one2many	1	IRGM:ENSG00000237693
Isg15	ortholog_one2one	1	ISG15:ENSG00000187608
Isg20	ortholog_one2one	1	ISG20:ENSG00000172183
Isx	ortholog_one2one	1	ISX:ENSG00000175329
Itga2	ortholog_one2one	1	ITGA2:ENSG00000164171
Itga2B	NOT_FOUND_IN_BIOMART	0	
Itga3	ortholog_one2one	1	ITGA3:ENSG00000005884
Itga6	ortholog_one2one	1	ITGA6:ENSG00000091409
Itgav	ortholog_one2one	1	ITGAV:ENSG00000138448
Itgb1Bp1	NOT_FOUND_IN_BIOMART	0	
Itgb4	ortholog_one2one	1	ITGB4:ENSG00000132470
Itgb6	ortholog_one2one	1	ITGB6:ENSG00000115221
Itm2B	NOT_FOUND_IN_BIOMART	0	
Itpr2	ortholog_one2one	1	ITPR2:ENSG00000123104
Itpripl2	ortholog_one2one	1	ITPRIPL2:ENSG00000205730
Ivl	NO_ORTHOLOG	0	
Jag2	ortholog_one2one	1	JAG2:ENSG00000184916
Jdp2	ortholog_one2one	1	JDP2:ENSG00000140044
Jkamp	ambiguous_ortholog_one2many	1	JKAMP:ENSG00000050130
Jub	NOT_FOUND_IN_BIOMART	0	
Junb	ortholog_one2one	1	JUNB:ENSG00000171223
Jup	ortholog_one2one	1	JUP:ENSG00000173801
Kank3	ortholog_one2one	1	KANK3:ENSG00000186994
Kansl1L	NOT_FOUND_IN_BIOMART	0	
Katnb1	ortholog_one2one	1	KATNB1:ENSG00000140854
Kbtbd11	ortholog_one2one	1	KBTBD11:ENSG00000176595
Kbtbd3	ortholog_one2one	1	KBTBD3:ENSG00000182359
Kcnk1	ortholog_one2one	1	KCNK1:ENSG00000135750
Kcnn4	ortholog_one2one	1	KCNN4:ENSG00000104783
Kcp	ortholog_one2one	1	KCP:ENSG00000135253
Kctd1	ortholog_one2one	1	KCTD1:ENSG00000134504
Kctd10	ortholog_one2one	1	KCTD10:ENSG00000110906
Kctd11	ortholog_one2one	1	KCTD11:ENSG00000213859
Kctd17	ortholog_one2one	1	KCTD17:ENSG00000100379
Kctd21	ortholog_one2one	1	KCTD21:ENSG00000188997
Kdm5A	NOT_FOUND_IN_BIOMART	0	
Khdc1A	NOT_FOUND_IN_BIOMART	0	
Kif12	ortholog_one2one	1	KIF12:ENSG00000136883
Kif1A	NOT_FOUND_IN_BIOMART	0	
Kif20B	NOT_FOUND_IN_BIOMART	0	
Kif3A	NOT_FOUND_IN_BIOMART	0	
Kif3C	NOT_FOUND_IN_BIOMART	0	
Kif9	ortholog_one2one	1	KIF9:ENSG00000088727
Kifap3	ortholog_one2one	1	KIFAP3:ENSG00000075945
Kifc3	ortholog_one2one	1	KIFC3:ENSG00000140859
